"","keyword","date","hits"
"712","panic attack",2020-02-23,80
"713","panic attack",2020-03-01,76
"714","panic attack",2020-03-08,84
"715","panic attack",2020-03-15,86
"716","panic attack",2020-03-22,100
"717","panic attack",2020-03-29,96
"718","panic attack",2020-04-05,96
"719","panic attack",2020-04-12,85
"720","panic attack",2020-04-19,82
"721","loneliness",2019-03-03,63
"722","loneliness",2019-03-10,56
"723","loneliness",2019-03-17,56
"724","loneliness",2019-03-24,62
"725","loneliness",2019-03-31,69
"726","loneliness",2019-04-07,72
"727","loneliness",2019-04-14,58
"728","loneliness",2019-04-21,63
"729","loneliness",2019-04-28,68
"730","loneliness",2019-05-05,62
"731","loneliness",2019-05-12,55
"732","loneliness",2019-05-19,70
"733","loneliness",2019-05-26,52
"734","loneliness",2019-06-02,50
"735","loneliness",2019-06-09,57
"736","loneliness",2019-06-16,49
"737","loneliness",2019-06-23,50
"738","loneliness",2019-06-30,43
"739","loneliness",2019-07-07,54
"740","loneliness",2019-07-14,49
"741","loneliness",2019-07-21,48
"742","loneliness",2019-07-28,40
"743","loneliness",2019-08-04,52
"744","loneliness",2019-08-11,55
"745","loneliness",2019-08-18,46
"746","loneliness",2019-08-25,57
"747","loneliness",2019-09-01,51
"748","loneliness",2019-09-08,50
"749","loneliness",2019-09-15,61
"750","loneliness",2019-09-22,64
"751","loneliness",2019-09-29,61
"752","loneliness",2019-10-06,59
"753","loneliness",2019-10-13,57
"754","loneliness",2019-10-20,69
"755","loneliness",2019-10-27,63
"756","loneliness",2019-11-03,62
"757","loneliness",2019-11-10,67
"758","loneliness",2019-11-17,70
"759","loneliness",2019-11-24,50
"760","loneliness",2019-12-01,68
"761","loneliness",2019-12-08,66
"762","loneliness",2019-12-15,59
"763","loneliness",2019-12-22,53
"764","loneliness",2019-12-29,51
"765","loneliness",2020-01-05,59
"766","loneliness",2020-01-12,54
"767","loneliness",2020-01-19,62
"768","loneliness",2020-01-26,62
"769","loneliness",2020-02-02,67
"770","loneliness",2020-02-09,67
"771","loneliness",2020-02-16,63
"772","loneliness",2020-02-23,81
"773","loneliness",2020-03-01,89
"774","loneliness",2020-03-08,79
"775","loneliness",2020-03-15,68
"776","loneliness",2020-03-22,84
"777","loneliness",2020-03-29,88
"778","loneliness",2020-04-05,100
"779","loneliness",2020-04-12,96
"780","loneliness",2020-04-19,85
"781","anxiety",2019-03-03,99
"782","anxiety",2019-03-10,97
"783","anxiety",2019-03-17,100
"784","anxiety",2019-03-24,100
"785","anxiety",2019-03-31,98
"786","anxiety",2019-04-07,97
"787","anxiety",2019-04-14,95
"788","anxiety",2019-04-21,96
"789","anxiety",2019-04-28,96
"790","anxiety",2019-05-05,95
"791","anxiety",2019-05-12,91
"792","anxiety",2019-05-19,90
"793","anxiety",2019-05-26,87
"794","anxiety",2019-06-02,84
"795","anxiety",2019-06-09,90
"796","anxiety",2019-06-16,89
"797","anxiety",2019-06-23,92
"798","anxiety",2019-06-30,86
"799","anxiety",2019-07-07,93
"800","anxiety",2019-07-14,93
"801","anxiety",2019-07-21,95
"802","anxiety",2019-07-28,93
"803","anxiety",2019-08-04,94
"804","anxiety",2019-08-11,95
"805","anxiety",2019-08-18,93
"806","anxiety",2019-08-25,93
"807","anxiety",2019-09-01,91
"808","anxiety",2019-09-08,93
"809","anxiety",2019-09-15,96
"810","anxiety",2019-09-22,96
"811","anxiety",2019-09-29,99
"812","anxiety",2019-10-06,95
"813","anxiety",2019-10-13,94
"814","anxiety",2019-10-20,96
"815","anxiety",2019-10-27,94
"816","anxiety",2019-11-03,96
"817","anxiety",2019-11-10,94
"818","anxiety",2019-11-17,99
"819","anxiety",2019-11-24,85
